societe,page,table_num,ACTIF,Note,31/12/2025,col,col_2,31/12/2024,CAPITAUX PROPRES ET PASSIFS,col_3,Catégories professionnelles,Nombre,"COMAR Assurances se positionne en tant qu’entreprise responsable, profondément engagée dans",1. Gouvernance,2. Stratégie de COMAR Assurances en termes de développement durable,"En suivant ces principes, COMAR s'efforce de créer un impact positif à la fois sur la société et", Aux risques migratoires liés aux mouvements des compétences sur le plan national et,COMAR investie également dans la formation continue de ses collaborateurs afin de développer,"Au cours de l’exercice clos le 31 décembre 2025, COMAR Assurances n’a pas connu",Actifs corporels,Taux,Elément,Catégorie,Valeur d’inventaire,"Brut au Mouvement Brut au Amortissement Net au
Nature de l'actif
31/12/2024 2025 31/12/2025 et provisions 31/12/2025","Brut au Amortissement Net au
Nature de l'actif
31/12/2025 et provisions 31/12/2025",Nature de l'actif,Brut au 31/12/2024,col_4,Mouvement,col_5,Brut au 31/12/2025,col_6,col_7,col_8,Amortissement et,col_9,Net au 31/12/2025,col_10,col_11,"Bons, Obligations et dépôts dans les",Dépôts auprès des établissements,"Mouvement
2025","Amortissement et
provisions","Net au
31/12/2025",Net au,"Nombre Correction de
Entreprises liées Capital Nombre % Montant Brut Montant net
d'actions valeur",CAPITAL,NOMBRE,%,BRUT,PROVISION 2024,DOTATION 2025,REPRISE 2025,PROVISION 2025,NET,Société,Brut au,Entrées 2025,Sorties 2025,"Brut au
31/12/2025","Produits au
31/12/2025","Brut au
31/12/2024",Branche,2025,2024,Variation,Libellé,Capital Social,Réserve Légale,"Prime
d'Emission","Réserve pour
Fonds Social","Réserve
investissement
exonerée","Réserve pour
toute
éventualité","Autre réserve
pour toute
éventualité","Réserve
Spécial de
réévaluation","Résultat de la
période",Actionnaires,Nombre d'Action,Montant,2025 2024,Sous-Total 2,45 740 303,43 723 305,2 016 998,Incendie,"Accident
Travail",Risques Divers,Automobile,Transport,Groupe,"Dommages
aux Biens",Construction,Acceptation,Total,Placements dans des,"Autres revenus et frais
financiers","Total
31/12/2025",Total 31/12/2024,Autres revenus et frais,Rubriques,Nature de Produit,Nature de charge,RESULTAT NET APRES MODIFICATIONS COMPTABLES (BENEFICE : B ‐ DEFICIT : D),109 216 022,Sociétés Primes Emises Prestations Réglées,Sociétés Dividendes encaissés,Sociétés Revenus des Loyers,Nature de flux,Désignation,Valeur Brute,Amortissements et Provisions,"VCN
31/12/2025",Année d'inventaire:,Exercice de survenance,"Placements dans des
entreprises liées et avec lien de
participation",Vie,Informations complémentaires,RC,"Risques
Agricoles","Perte
d'Eploitation",Caution,Assistance,"Accident
Corporel",col_12,col_13,col_14,col_15
COMAR,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,3,1,,,1 166 290 579,,,1 145 392 144,TOTAL DES CAPITAUX PROPRES ET DU PASSIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,"Opérations
Brutes",,"Cessions et/ou
Rétrocessions","Opérations
Nettes",,"Opérations
Nettes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,"PRNV1
PRNV3
PRNV2
CHNV1
CHNV2
CHNV3
CHNV4
CHNV5
CHNV6","273 345 982
- 1 583 171","PRNV1 Primes acquises
PRNV11 Primes émises et acceptées
PRNV12 Variation de la provision pour primes non acquises
PRNV3 Produits de placements alloués, transférés de l'état de résultat
PRNV2 Autres produits techniques
CHNV1 Charges de sinistres
CHNV11 Montants payés
CHNV12 Variation de la provision pour sinistres
CHNV2 Variation des autres provisions techniques
CHNV3 Participation aux bénéfices et ristournes
CHNV4 Frais d'exploitation
CHNV41 Frais d'acquisition
CHNV42 Variation du montant des frais d'acquisition reportés
CHNV43 Frais d'administration
CHNV44 Commissions reçues des réassureurs
CHNV5 Autres charges techniques
CHNV6 Variation de la provision pour égalisation et équilibrage","- 5 1 393 301
- 333 142","212 389 096
- 225 316",,"221 952 680
- 1 916 313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,271 762 810,,- 5 1 726 443,212 163 780,,220 036 367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,6 3 937 022,,,50 846 154,,63 937 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,6 3 937 022,,-,50 846 154,,63 937 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,151 741,,,121 670,,151 741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,151 741,,-,121 670,,151 741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,"- 150 304 859
1 0 134 930",,"1 0 758 127
- 11 542 414","- 139 472 045
- 11 611 036",,"- 139 546 733
- 1 407 484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 140 169 929,,- 784 288,- 151 083 081,,- 140 954 217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,435 851,,,2 335 684,,435 851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,435 851,,-,2 335 684,,435 851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 1 985 224,,,- 1 742 307,,- 1 985 224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 1 985 224,,-,- 1 742 307,,- 1 985 224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,"- 5 1 180 900
1 853 831
- 2 6 664 137",,"- 189 280
1 2 531 312","- 43 809 504
- 166 749
- 2 4 838 812
12 448 887",,"- 51 370 180
1 853 831
- 26 664 137
12 531 312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 7 5 991 206,,12 342 033,- 56 366 177,,- 63 649 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 5 192 431,,- 9 8 229,- 818 169,,- 5 290 660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 5 192 431,,- 9 8 229,- 818 169,,- 5 290 660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 476 793,,,- 2 077 182,,- 476 793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,- 476 793,,-,- 2 077 182,,- 476 793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,4,1,,,112 471 842,RTNV : RESULTAT TECHNIQUE DE L'ASSURANCE NON VIE,- 4 0 266 927,53 380 372,,72 204 915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,"Opérations
Brutes",,"Cessions et/ou
Rétrocessions","Opérations
Nettes",,"Opérations
Nettes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,"PRV1
PRV2
CHV1
CHV2
CHV3
CHV4",8 911 710,"PRV1 Primes
PRV11 Primes émises et acceptées
PRV2 Produits de placements
CHV1 Charges de sinistres
CHV11 Montants payés
CHV12 Variation de la provision pour sinistres
CHV2 Variation des autres provisions techniques
CHV21 Provision d'assurance vie
CHV22 Autres provisions techniques ( V°Prov.pour égalisation )
CHV3Participation aux bénéfices et ristournes
CHV4 Frais d'exploitation
CHV41 Frais d'acquisition
CHV43 Frais d'administration
CHV45 Commissions reçues des réassureurs
CHV5 Autres Charges Techniques",- 3 1 423,7 901 660,,8 880 287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,8 911 710,,- 3 1 423,7 901 660,,8 880 287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,2 786 684,,,1 926 020,,2 786 684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,2 786 684,,-,1 926 020,,2 786 684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,"- 1 692 183
- 1 470 836",,,"- 1 455 698
702 979",,"- 1 692 183
- 1 470 836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,- 3 163 019,,-,- 752 719,,- 3 163 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,"266 996
- 1 540 205",,,"286 360
- 2 056 274",,"266 996
- 1 540 205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,- 1 273 210,,-,- 1 769 914,,- 1 273 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,,,,- 266,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,-,,-,- 266,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,"- 999 181
- 535 022",,4 713,"- 726 584
- 360 763
6 578",,"- 999 181
- 535 022
4 713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,- 1 534 203,,4 713,- 1 080 769,,- 1 529 489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,- 9 6 628,,- 17 586,-,,- 114 214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,- 9 6 628,,- 17 586,-,,- 114 214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,5,1,,,5 631 335,RTV : RESULTAT TECHNIQUES DE L'ASSURANCE VIE,- 4 4 296,6 224 013,,5 587 039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,"RTNV
RTV
PRNT1
CHNT1
CHNT2
PRNT2
CHNT3
CHNT4
PRNT4
CHNT5",7 2 204 915,,,5 3 380 372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,7 2 204 915,,,5 3 380 372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,5 587 039,,,6 224 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,5 587 039,,,6 224 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,"9 4 628 317
1 3 923 590
5 548 129",,,"8 1 815 274
6 875 672
2 625 485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,114 100 036,,,9 1 316 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,"- 5 603 387
- 3 656 159
- 1 468 486",,,"- 5 927 281
- 5 720 564
- 590 145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,- 1 0 728 032,,,- 1 2 237 990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,"- 6 3 937 022
- 2 786 684",,,"- 5 0 846 154
- 1 926 020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,- 6 6 723 706,,,- 5 2 772 174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,1 039 514,,,1 552 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,1 039 514,,,1 552 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,- 6 263 744,,,- 3 013 573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,- 6 263 744,,,- 3 013 573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,109 216 022,,,8 4 449 424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,- 2 7 065 480,,,- 1 9 110 711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,- 2 7 065 480,,,- 1 9 110 711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,8 2 150 543,,,6 5 338 714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,-,,,- 1 737 337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,-,,,- 1 737 337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,-,,,- 1 737 337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,8 2 150 543,,,6 3 601 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,6,1,,,8 2 150 543,RESULTAT NET DE L'EXERCICE APRES MODIFICATIONS COMPTABLES,,6 3 601 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,9,1,,,,,,,,,Cadres,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,9,1,,,,,,,,,Employés,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,9,1,,,,,,,,,Personnel contractuel,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,9,2,,,,,,,,,,,une démarche citoyenne intégrant les principes fondamentaux du développement durable au cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAR,9,2,,,,,,,,,,,de ses activités. Elle a élaboré une politique de responsabilité environnementale et sociétale qui est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
